id,gods_name_id,lang,name,short_meaning_key,short_meaning_val,meanings_key,meanings_val
162,278,ar,Allāh,المعنى المختصر,"<p class=""ql-direction-rtl ql-align-center"">الإلهُ المعبودُ بحقٍّ، محبةً ورجاءً وخوفًا، الجامع لجميع معاني أسماء الله الحسنى، والمتضمن لسائر صفات الله تعالى.</p>",أقوال العلماء,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-font-vazirmatn""><span class=""ql-cursor"">﻿</span>  </span>∎ قال ابنُ تيمية: (""اللهُ"" هو الإلهُ المعبودُ، فهذا الاسمُ أحقُّ بالعبادة).</p><p class=""ql-direction-rtl ql-align-right"">∎ قال ابنُ القيم: (اسمُ ""الله"" دالٌّ على كونِهِ مَألوهًا مَعبودًا، تُؤلِّهُهُ الخلائقُ محبةً وتعظيمًا وخضوعًا، وفزعًا إليه في الحوائجِ والنوائبِ).</p><p class=""ql-direction-rtl ql-align-right"">∎ قال السعدي: (""الله"" هو المَألوهُ المعبود، ذو الألوهية والعبودية على خلقه أجمعين؛ لما اتصف به من صفات الألوهيةِ التي هي صفات الكمال).</p>"
163,279,ar,Ar-Rahmān,المعنى المختصر,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-cursor"">﻿</span>ذو الرحمةِ الواسعةِ العظيمةِ التي وَسِعَتْ كلَّ شيء.</p>",أقوال العلماء,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-font-vazirmatn""><span class=""ql-cursor"">﻿</span>  </span>∎ قال ابنُ تيمية: (هو المُسمّى بِصِفَةِ الرَّحمة).</p><p>∎ قال السعدي: (ذو الرحمةِ الواسعةِ العظيمةِ التي وَسِعَتْ كلَّ شيء).</p><p><br></p>"
164,280,ar,Ar-Rahīm,المعنى المختصر,"<p class=""ql-direction-rtl ql-align-right"">  ذو الرّحمةِ العظيمةِ المُتَعَلِّقةِ بالمرحوم، الذي له الرحمة الواسعة بعباده، وأسعد الخلق بها المؤمنون والمحسنون والرحماء.</p>",أقوال العلماء,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-font-vazirmatn""><span class=""ql-cursor"">﻿</span>  </span>∎ قال ابنُ تيمية: (هو الذي يَرحمُ العِبادَ بِمشيئتِهِ وقُدرتِه).</p><p>∎ قال السعدي: (""الرحيمُ"" ذو الرحمةِ العظيمةِ التي اتصفَ بها، المُتَعَلِّقةِ بالمرحوم).</p>"
165,281,ar,Al-Malik,المعنى المختصر,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-cursor"">﻿</span>  الموصوفُ بِصفاتِ العظمةِ والقهر والتدبير، المالك لجميع الأشياء المتصرف فيها بلا ممانعة ولا مدافعة، الذي له ملك السماوات والأرض ومن فيهن، المدبِّر لأمر العالم كله بمشيئته وحكمته.</p>",أقوال العلماء,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-font-vazirmatn"">  </span>∎ قال ابنُ تيمية: (الذي يَتصرَّفُ بِالأمر).</p><p>∎ قال ابنُ القيم: (الذي يَأمرُ ويَنهى، ويُثِيبُ ويُعاقب، ويُهِينُ ويُكْرِم، ويُعِزُّ ويُذِلُّ).</p><p>∎ قال السعدي: (المالكُ الذي له المُلْكُ، فهو الموصوفُ بِصِفةِ المُلْكِ وهي صفاتُ العظمة والكبرياء والقهر والتدبير، الذي له التصرُّفُ المطلق في الخَلْقِ والأَمْر والجَزَاء).</p>"
166,282,ar,Al-Quddūs,المعنى المختصر,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-cursor"">﻿</span>  المُعَظَّم المُنَزَّهُ عن صِفاتِ النَّقصِ كلِّها، وعن كلّ نقصٍ وعيب بأيّ وجه من الوجوه، وأنْ يُماثِلَه أحدٌ من الخلق؛ وذلك لأنه المنفرد بأوصاف الكمال المطلق.</p>",أقوال العلماء,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-font-vazirmatn""><span class=""ql-cursor"">﻿</span>  </span>∎ قال ابنُ تيمية: (المُتَنَزِّهُ أنْ يُماثِلَه شيءٌ في نُعُوتِ الكَمَال أو يَلحَقَه شيءٌ من الآفات).</p><p>∎ قال ابنُ القيم: (المُنَزَّهُ مِن كلِّ شرٍّ ونَقْصٍ وعيب).</p><p>∎ قال السعدي: (المُعَظَّم المُنَزَّهُ عن صِفاتِ النَّقصِ كلِّها، وأنْ يُماثِلَه أحدٌ من الخلق؛ فهو المُتَنَزِّهُ عن جميعِ العيوب، والمتنزهُ عن أنْ يُقارِبَه أو يماثلَه أحدٌ في شيءٍ من الكمال).</p>"
167,283,ar,As-Salām,المعنى المختصر,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-cursor"">﻿</span>  السَّالِمُ مِن كلِّ نَقصٍ وآفَةٍ وعَيْب، في ذاته وفي صفاته وفي أسمائه وأفعاله، وكل سلام في الدنيا والآخرة فهو منه سبحانه وتعالى.</p>",أقوال العلماء,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-font-vazirmatn""><span class=""ql-cursor"">﻿</span>  </span>∎ قال ابنُ تيمية: (المُقَدَّسُ عن العَيبِ والنَّقْص).</p><p>∎ قال ابنُ القيم: (الذي سَلِمَ مِن العُيوبِ والنَّقائِصِ).</p><p>∎ قال السعدي: (المُعَظَّمُ المُنَزَّهُ عن صفاتِ النقصِ كلِّها، وأَنْ يُماثِلَه أحدٌ مِن الخَلْق، فهو المُتَنَزِّهِ عن جميعِ العُيوب، والمُتنزّه عن أَنْ يُقارِبَه أو يُماثِلَه أحدٌ في شيءٍ مِن الكَمال).</p><p><br></p>"
168,284,ar,Al-Muhaymin,المعنى المختصر,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-cursor"">﻿</span>  القائِمُ على الخَلْق، والحاكم عليهم، والمُتصَرِّفُ فيهم، والحافظ لهم، والشاهد عليهم، والمحيط بهم، الذي أحاطَ بِكُلِّ شيءٍ عِلْمًا.</p>",أقوال العلماء,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-font-vazirmatn""><span class=""ql-cursor"">﻿</span>  </span>∎ قال ابنُ تيمية: (الحَاكِمُ على الناسِ القائِمُ بأمورِهِم).</p><p>∎ قال البَغويُّ: (الشَّهِيدُ على عِبادِهِ بأعمالِهِم).</p><p>∎ قال السعديُّ: (المُطَّلِعُ على خَفايا الأمورِ، وخَبايا الصُّدُور، الذي أحاطَ بِكُلِّ شيءٍ عِلْمًا).</p><p><br></p><p><br></p>"
169,285,ar,Al-‘Azīz,المعنى المختصر,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-cursor"">﻿</span>  الذي له العِزَّةُ التّامّة، والذي قَهَرَ كُلَّ ما عداه بِقُوَّتِهِ وغَلَبَتِهِ وامتِناعِهِ، القوي الغالب الذي لا يهزم، الجليل الرفيع الشأن السالم من الذُّل، وللعبد من العزَّة والرفعة بقدر طاعته للعزيز سبحانه وتعالى.</p>",أقوال العلماء,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-font-vazirmatn""><span class=""ql-cursor"">﻿</span>  </span>∎ قال ابنُ تيمية: (مَن له العِزّةُ جميعًا، وكلُّ عِزَّةٍ فمِن عِزّتِهِ).</p><p>∎ قال ابنُ القيم: (العزيزُ الذي له العِزَّةُ التَّامّة).</p><p>∎ قال السعدي: (العزيزُ الذي له العِزَّةُ كلُّها، عِزّةُ القوة، وعِزةُ الغلبة، وعِزة الامتناع).</p><p><br></p>"
170,286,ar,Al-Jabbār,المعنى المختصر,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-cursor"">﻿</span>  العالي على خلقه، المسيطرُ على كلِّ شيءٍ، الذي دَانَ له كلُّ شيء وخَضَعَ له، والذي يَجبُرُ مَن التَجأَ إليه، العظيم الذي يُنفِذ مشيئته على سبيل الإجبار والقهر في كل أحد، الذي يَجبُرُ الفقيرَ بالغنى، والمريضَ بالصّحة، والمحتاجَ بالعطاء.</p>",أقوال العلماء,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-font-vazirmatn""><span class=""ql-cursor"">﻿</span>  </span>∎ قال ابنُ تيمية: (الرَّبُّ هو الجَبَّارُ عليهِم المُسَيْطِر، وذلك يَستلزِمُ قدرتَه عليهم).</p><p>∎ قال ابن القيم: (فالجَبَّارُ في صِفةِ الربِّ سبحانه تَرجِعُ إلى ثلاثةِ مَعَانٍ: المُلْك والقَهْر والعُلُو).</p><p>∎ قال السعدي: (الجَبَّارُ بِمعنى العَلِيِّ الأعلى، وبمعنى القَهّار، وبمعنى الرَّؤوف الجَبّارُ للقُلُوبِ المُنْكَسِرة، وللضعيفِ العاجِزِ، ولِمَن لاذَ به ولَجَأَ إليه).</p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify""><br></p><p class=""ql-align-justify""><br></p>"
171,287,ar,Al-Mutakabbir,المعنى المختصر,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-cursor"">﻿</span>  المتعالي العظيم المُتعاظِم عن كل سوء ونقص وعيبِ؛ لِكمالِهِ وجلالِهِ، المتعالي عن ظلم عباده، القاهر لعتاة خلقه، المتصف بالكبرياء، ومن نازعه في ذلك قصمه وعذّبه.</p>",أقوال العلماء,"<p class=""ql-direction-rtl ql-align-right""><span class=""ql-font-vazirmatn""><span class=""ql-cursor"">﻿</span>  </span>∎ قال ابنُ تيمية: (المُتَعالي بالحقِّ ليس كالملوكِ الجبارين المُتكبرين بالباطلِ على بَني جِنسِهِم).</p><p>∎ قال ابنُ القيم: (قال قتادةُ وغيرُه: الذي تَكَبَّرَ عن السيئاتِ، وقال مُقاتِل: المُتَعظِّمِ عن كلِّ سوء).</p><p>∎ قال السعدي: (المُتكبر عن السوء والنقص والعيوب؛ لعظمتِهِ وكبريائِهِ).</p><p><br></p><p><br></p><p><br></p>"
